caseid,start_timestamp,end_timestamp,Activity,user
3004646,2010-10-03T23:00:00,2010-10-25T13:30:04, 01_HOOFD_0,560922
3004646,2010-10-25T13:30:22,2010-10-25T13:31:34, 01_HOOFD_1,560922
3004646,2010-10-25T13:31:39,2010-10-25T13:31:39, 01_HOOFD_2,560922
3004646,2010-10-25T13:32:21,2010-11-02T09:14:44, 08_AWB45_0,560922
3004646,2010-11-02T09:15:22,2010-11-02T09:15:22, 08_AWB45_1,560922
3004646,2010-11-02T09:15:25,2010-11-02T09:15:34, 01_HOOFD_1,560922
3004646,2010-11-02T09:15:37,2010-11-02T09:15:45, 01_HOOFD_2,560922
3004646,2010-11-02T09:15:49,2010-11-02T09:15:49, 09_AH_I_0,560922
3004646,2010-11-02T09:15:50,2010-11-02T09:15:54, 01_HOOFD_3,560922
3004646,2010-11-02T09:16:00,2010-11-02T09:16:06, 01_HOOFD_4,560922
3007101,2010-10-03T23:00:00,2010-10-11T10:02:01, 01_HOOFD_0,560749
3007101,2010-10-24T23:00:00,2010-10-24T23:00:00, 08_AWB45_0,560922
3007101,2010-10-25T13:39:42,2010-10-25T13:40:11, 01_HOOFD_1,560922
3007101,2010-10-25T13:40:48,2010-10-25T13:40:48, 01_HOOFD_2,560922
3007101,2010-10-25T13:41:08,2010-10-25T13:52:59, 08_AWB45_0,560922
3018942,2010-10-10T23:00:00,2010-10-13T13:08:40, 01_HOOFD_0,560741
3018942,2010-11-08T07:51:33,2010-11-08T07:51:48, 01_HOOFD_0,560696
3018942,2010-11-09T23:00:00,2010-11-09T23:00:00, 01_HOOFD_0,2013365
3018942,2010-11-09T23:00:00,2010-11-09T23:00:00, 01_HOOFD_1,2013365
3018942,2010-11-10T15:10:52,2010-11-10T15:10:52, 01_HOOFD_0,2013365
3018942,2010-11-10T15:11:01,2010-11-10T15:12:30, 01_HOOFD_1,2013365
3018942,2010-11-10T15:12:36,2010-11-10T15:12:53, 01_HOOFD_2,2013365
3018942,2010-11-10T15:12:59,2010-11-10T15:13:01, 01_HOOFD_3,2013365
