Case_ID,variant,variant_index,creator,Activity,Resource,Activity_1,Resource_1,org_group,End_Time,Start_Time
1-109135791,Variant 77,77,Fluxicon Disco,Queued-Awaiting Assignment,Minnie-Org line A2,Queued-Awaiting Assignment,Minnie,Org line A2,2006-01-11T14:49:42.000,2006-01-11T14:49:42.000
1-109135791,Variant 77,77,Fluxicon Disco,Accepted-In Progress,Minnie-Org line A2,Accepted-In Progress,Minnie,Org line A2,2012-03-15T10:53:52.000,2012-03-15T10:53:52.000
1-109135791,Variant 77,77,Fluxicon Disco,Accepted-Assigned,Minnie-Org line A2,Accepted-Assigned,Minnie,Org line A2,2012-03-15T10:56:17.000,2012-03-15T10:56:17.000
1-109135791,Variant 77,77,Fluxicon Disco,Accepted-In Progress,Minnie-Org line A2,Accepted-In Progress,Minnie,Org line A2,2012-03-15T11:09:05.000,2012-03-15T11:09:05.000
1-109135791,Variant 77,77,Fluxicon Disco,Completed-Closed,Minnie-Org line A2,Completed-Closed,Minnie,Org line A2,2012-03-15T11:11:33.000,2012-03-15T11:11:33.000
1-147898401,Variant 78,78,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2006-11-07T09:00:36.000,2006-11-07T09:00:36.000
1-147898401,Variant 78,78,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2006-11-07T12:05:44.000,2006-11-07T12:05:44.000
1-147898401,Variant 78,78,Fluxicon Disco,Accepted-Wait,Tomas-Org line A2,Accepted-Wait,Tomas,Org line A2,2009-12-02T13:24:32.000,2009-12-02T13:24:32.000
1-147898401,Variant 78,78,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2011-09-03T06:09:09.000,2011-09-03T06:09:09.000
1-147898401,Variant 78,78,Fluxicon Disco,Accepted-In Progress,Carrie-Org line A2,Accepted-In Progress,Carrie,Org line A2,2012-01-20T09:23:24.000,2012-01-20T09:23:24.000
1-147898401,Variant 78,78,Fluxicon Disco,Completed-Closed,Carrie-Org line A2,Completed-Closed,Carrie,Org line A2,2012-01-20T09:23:27.000,2012-01-20T09:23:27.000
1-165554831,Variant 23,23,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2007-03-20T08:06:25.000,2007-03-20T08:06:25.000
1-165554831,Variant 23,23,Fluxicon Disco,Accepted-Wait,Tomas-Org line A2,Accepted-Wait,Tomas,Org line A2,2009-12-02T13:24:31.000,2009-12-02T13:24:31.000
1-165554831,Variant 23,23,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2011-09-03T06:10:53.000,2011-09-03T06:10:53.000
1-165554831,Variant 23,23,Fluxicon Disco,Accepted-In Progress,Carrie-Org line A2,Accepted-In Progress,Carrie,Org line A2,2012-01-18T07:52:41.000,2012-01-18T07:52:41.000
1-165554831,Variant 23,23,Fluxicon Disco,Completed-Closed,Carrie-Org line A2,Completed-Closed,Carrie,Org line A2,2012-01-18T07:52:43.000,2012-01-18T07:52:43.000
1-172473423,Variant 23,23,Fluxicon Disco,Accepted-In Progress,Tomas-Org line A2,Accepted-In Progress,Tomas,Org line A2,2007-05-10T15:21:54.000,2007-05-10T15:21:54.000
1-172473423,Variant 23,23,Fluxicon Disco,Accepted-Wait,Tomas-Org line A2,Accepted-Wait,Tomas,Org line A2,2009-12-02T13:24:33.000,2009-12-02T13:24:33.000
