Case_ID,Start_Time,End_Time,Activity,Resource
request for payment 73550,2017-01-09T13:48:43.000,2017-01-09T13:48:43.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73550,2017-01-09T13:48:55.000,2017-01-09T13:48:55.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73550,2017-01-12T10:40:27.000,2017-01-12T10:40:27.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73550,2017-01-12T10:41:59.000,2017-01-12T10:41:59.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73550,2017-01-12T10:53:07.000,2017-01-12T10:53:07.000,Request For Payment REJECTED by MISSING,MISSING
request for payment 73550,2017-07-28T09:10:18.000,2017-07-28T09:10:18.000,Permit REJECTED by MISSING,MISSING
request for payment 73552,2017-01-09T13:48:43.000,2017-01-09T13:48:43.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73552,2017-01-09T13:48:55.000,2017-01-09T13:48:55.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73552,2017-01-19T17:47:18.000,2017-01-19T17:47:18.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73552,2017-01-19T17:47:21.000,2017-01-19T17:47:21.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73552,2017-01-23T13:43:35.000,2017-01-23T13:43:35.000,Request Payment,UNDEFINED
request for payment 73552,2017-01-26T16:30:47.000,2017-01-26T16:30:47.000,Payment Handled,UNDEFINED
request for payment 73552,2017-07-28T09:10:18.000,2017-07-28T09:10:18.000,Permit REJECTED by MISSING,MISSING
request for payment 76316,2017-01-10T10:19:16.000,2017-01-10T10:19:16.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76316,2017-01-10T10:19:23.000,2017-01-10T10:19:23.000,Permit APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76316,2017-01-10T13:56:18.000,2017-01-10T13:56:18.000,Permit FINAL_APPROVED by DIRECTOR,DIRECTOR
request for payment 76316,2017-01-30T11:37:40.000,2017-01-30T11:37:40.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76316,2017-01-30T11:40:57.000,2017-01-30T11:40:57.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76316,2017-02-01T09:40:00.000,2017-02-01T09:40:00.000,Request Payment,UNDEFINED
request for payment 76316,2017-02-06T16:31:45.000,2017-02-06T16:31:45.000,Payment Handled,UNDEFINED
request for payment 73536,2017-01-10T10:34:01.000,2017-01-10T10:34:01.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73536,2017-01-10T10:34:09.000,2017-01-10T10:34:09.000,Permit APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73536,2017-01-12T09:56:40.000,2017-01-12T09:56:40.000,Permit FINAL_APPROVED by DIRECTOR,DIRECTOR
request for payment 73536,2017-01-13T10:23:25.000,2017-01-13T10:23:25.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73536,2017-01-13T10:24:18.000,2017-01-13T10:24:18.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73536,2017-01-18T10:02:30.000,2017-01-18T10:02:30.000,Request Payment,UNDEFINED
request for payment 73536,2017-01-23T16:32:19.000,2017-01-23T16:32:19.000,Payment Handled,UNDEFINED
request for payment 73536,2017-02-24T11:50:45.000,2017-02-24T11:50:45.000,Permit REJECTED by MISSING,MISSING
request for payment 185372,2017-01-10T16:10:10.000,2017-01-10T16:10:10.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 185372,2017-01-10T16:15:32.000,2017-01-10T16:15:32.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 185372,2017-01-20T09:12:42.000,2017-01-20T09:12:42.000,Request For Payment REJECTED by MISSING,MISSING
request for payment 76195,2017-01-11T11:36:23.000,2017-01-11T11:36:23.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76195,2017-01-11T11:36:25.000,2017-01-11T11:36:25.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76195,2017-01-17T16:19:43.000,2017-01-17T16:19:43.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76195,2017-01-17T16:19:57.000,2017-01-17T16:19:57.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76195,2017-01-23T09:27:26.000,2017-01-23T09:27:26.000,Request Payment,UNDEFINED
request for payment 76195,2017-01-26T16:30:47.000,2017-01-26T16:30:47.000,Payment Handled,UNDEFINED
request for payment 73737,2017-01-11T12:30:51.000,2017-01-11T12:30:51.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73737,2017-01-11T12:30:57.000,2017-01-11T12:30:57.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73737,2017-04-06T15:05:59.000,2017-04-06T15:05:59.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 73737,2017-04-06T15:07:49.000,2017-04-06T15:07:49.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 73737,2017-04-10T15:14:41.000,2017-04-10T15:14:41.000,Request Payment,UNDEFINED
request for payment 73737,2017-04-13T16:30:56.000,2017-04-13T16:30:56.000,Payment Handled,UNDEFINED
request for payment 77107,2017-01-11T12:48:46.000,2017-01-11T12:48:46.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 77107,2017-01-11T12:48:57.000,2017-01-11T12:48:57.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 77107,2017-04-06T14:53:45.000,2017-04-06T14:53:45.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 77107,2017-04-06T15:19:05.000,2017-04-06T15:19:05.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 77107,2017-04-11T16:25:08.000,2017-04-11T16:25:08.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 77107,2017-04-19T11:01:05.000,2017-04-19T11:01:05.000,Request Payment,UNDEFINED
request for payment 77107,2017-04-24T16:31:11.000,2017-04-24T16:31:11.000,Payment Handled,UNDEFINED
request for payment 185391,2017-01-11T13:20:06.000,2017-01-11T13:20:06.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 185391,2017-01-11T13:20:52.000,2017-01-11T13:20:52.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 185391,2017-01-25T10:31:55.000,2017-01-25T10:31:55.000,Request Payment,UNDEFINED
request for payment 185391,2017-01-30T16:31:40.000,2017-01-30T16:31:40.000,Payment Handled,UNDEFINED
request for payment 76211,2017-01-11T16:25:24.000,2017-01-11T16:25:24.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76211,2017-01-11T16:25:37.000,2017-01-11T16:25:37.000,Permit APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76211,2017-01-12T09:56:40.000,2017-01-12T09:56:40.000,Permit FINAL_APPROVED by DIRECTOR,DIRECTOR
request for payment 76211,2017-03-27T14:44:15.000,2017-03-27T14:44:15.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76211,2017-03-27T14:44:23.000,2017-03-27T14:44:23.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 76211,2017-03-29T09:29:46.000,2017-03-29T09:29:46.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76211,2017-04-03T14:15:36.000,2017-04-03T14:15:36.000,Request Payment,UNDEFINED
request for payment 76211,2017-04-06T16:31:01.000,2017-04-06T16:31:01.000,Payment Handled,UNDEFINED
request for payment 76213,2017-01-11T16:25:24.000,2017-01-11T16:25:24.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76213,2017-01-11T16:25:37.000,2017-01-11T16:25:37.000,Permit APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76213,2017-01-12T09:56:40.000,2017-01-12T09:56:40.000,Permit FINAL_APPROVED by DIRECTOR,DIRECTOR
request for payment 76213,2017-05-16T15:28:41.000,2017-05-16T15:28:41.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 76213,2017-05-16T15:28:59.000,2017-05-16T15:28:59.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 76213,2017-05-18T08:18:31.000,2017-05-18T08:18:31.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 76213,2017-05-19T07:41:41.000,2017-05-19T07:41:41.000,Request Payment,UNDEFINED
request for payment 76213,2017-05-22T16:31:10.000,2017-05-22T16:31:10.000,Payment Handled,UNDEFINED
request for payment 77877,2017-01-11T17:02:47.000,2017-01-11T17:02:47.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 77877,2017-01-11T17:04:54.000,2017-01-11T17:04:54.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
