caseid,start_timestamp,end_timestamp,creator,variant,variant_index,Activity,user
198639,2012-01-07T09:07:39.782,2012-01-07T09:09:21.255,Fluxicon Disco, Variant 20,20, W_Completeren aanvraag,10913.0
198639,2012-01-07T10:28:18.145,2012-01-07T10:38:57.706,Fluxicon Disco, Variant 20,20, W_Completeren aanvraag,10913.0
198639,2012-01-13T08:48:31.316,2012-01-13T08:48:56.664,Fluxicon Disco, Variant 20,20, W_Nabellen offertes,11259.0
198639,2012-01-18T13:53:59.156,2012-01-18T14:29:36.878,Fluxicon Disco, Variant 20,20, W_Valideren aanvraag,10809.0
198699,2012-01-07T09:32:47.823,2012-01-07T09:43:17.502,Fluxicon Disco, Variant 2,2, W_Completeren aanvraag,10929.0
198705,2012-01-07T09:43:27.614,2012-01-07T09:46:01.873,Fluxicon Disco, Variant 336,336, W_Completeren aanvraag,10929.0
198705,2012-01-07T14:15:14.196,2012-01-07T14:16:23.608,Fluxicon Disco, Variant 336,336, W_Completeren aanvraag,10913.0
198705,2012-01-09T09:07:24.785,2012-01-09T09:20:30.095,Fluxicon Disco, Variant 336,336, W_Completeren aanvraag,11179.0
198705,2012-01-09T09:20:41.182,2012-01-09T09:21:15.594,Fluxicon Disco, Variant 336,336, W_Nabellen offertes,11179.0
198705,2012-01-17T11:20:02.677,2012-01-17T11:20:35.721,Fluxicon Disco, Variant 336,336, W_Nabellen offertes,NOT_SET
198705,2012-01-19T09:17:31.494,2012-01-19T09:17:53.071,Fluxicon Disco, Variant 336,336, W_Nabellen offertes,11049.0
198705,2012-01-23T11:03:43.86,2012-01-23T12:27:53.663,Fluxicon Disco, Variant 336,336, W_Valideren aanvraag,10609.0
198705,2012-01-23T12:29:12.924,2012-01-23T12:34:58.209,Fluxicon Disco, Variant 336,336, W_Nabellen incomplete dossiers,10609.0
198708,2012-01-07T09:35:28.891,2012-01-07T09:37:20.155,Fluxicon Disco, Variant 7,7, W_Completeren aanvraag,10913.0
198708,2012-01-07T14:15:09.71,2012-01-07T14:15:41.11,Fluxicon Disco, Variant 7,7, W_Completeren aanvraag,10982.0
198708,2012-01-07T14:32:43.439,2012-01-07T15:05:08.599,Fluxicon Disco, Variant 7,7, W_Completeren aanvraag,10929.0
198711,2012-01-07T09:37:26.708,2012-01-07T09:50:03.434,Fluxicon Disco, Variant 578,578, W_Completeren aanvraag,10913.0
198711,2012-01-17T10:47:06.962,2012-01-17T10:47:16.613,Fluxicon Disco, Variant 578,578, W_Nabellen offertes,10899.0
198711,2012-01-20T12:50:00.561,2012-01-20T13:11:12.513,Fluxicon Disco, Variant 578,578, W_Valideren aanvraag,10138.0
198711,2012-01-20T18:00:42.536,2012-01-20T18:02:40.384,Fluxicon Disco, Variant 578,578, W_Nabellen incomplete dossiers,10909.0
198711,2012-01-21T09:29:46.567,2012-01-21T09:30:25.646,Fluxicon Disco, Variant 578,578, W_Nabellen incomplete dossiers,11002.0
198711,2012-01-21T09:58:32.885,2012-01-21T10:13:38.986,Fluxicon Disco, Variant 578,578, W_Nabellen incomplete dossiers,10912.0
198711,2012-01-23T07:59:52.809,2012-01-23T08:23:44.418,Fluxicon Disco, Variant 578,578, W_Valideren aanvraag,10138.0
198711,2012-01-23T10:08:57.791,2012-01-23T10:41:32.747,Fluxicon Disco, Variant 578,578, W_Nabellen incomplete dossiers,10909.0
198711,2012-01-23T10:41:41.278,2012-01-23T10:46:07.651,Fluxicon Disco, Variant 578,578, W_Nabellen incomplete dossiers,10909.0
198711,2012-01-23T11:40:41.432,2012-01-23T11:40:42.65,Fluxicon Disco, Variant 578,578, W_Nabellen incomplete dossiers,10889.0
198711,2012-01-23T11:41:00.526,2012-01-23T11:43:06.318,Fluxicon Disco, Variant 578,578, W_Nabellen incomplete dossiers,10889.0
198711,2012-01-27T10:10:13.207,2012-01-27T10:11:17.211,Fluxicon Disco, Variant 578,578, W_Nabellen incomplete dossiers,10899.0
198711,2012-01-27T12:06:43.082,2012-01-27T12:13:39.895,Fluxicon Disco, Variant 578,578, W_Valideren aanvraag,10138.0
198711,2012-01-27T12:51:47.256,2012-01-27T13:02:32.822,Fluxicon Disco, Variant 578,578, W_Valideren aanvraag,10138.0
198717,2012-01-07T09:46:12.506,2012-01-07T09:48:12.256,Fluxicon Disco, Variant 26,26, W_Completeren aanvraag,10929.0
198717,2012-01-07T09:55:22.895,2012-01-07T10:04:42.408,Fluxicon Disco, Variant 26,26, W_Completeren aanvraag,10909.0
198717,2012-01-17T10:52:47.422,2012-01-17T10:56:59.96,Fluxicon Disco, Variant 26,26, W_Nabellen offertes,NOT_SET
198720,2012-01-07T09:48:20.032,2012-01-07T09:50:02.408,Fluxicon Disco, Variant 53,53, W_Completeren aanvraag,10929.0
198720,2012-01-07T09:50:07.272,2012-01-07T09:51:23.357,Fluxicon Disco, Variant 53,53, W_Completeren aanvraag,10929.0
198720,2012-01-07T09:54:13.063,2012-01-07T10:01:13.075,Fluxicon Disco, Variant 53,53, W_Completeren aanvraag,10982.0
198720,2012-01-07T10:16:40.751,2012-01-07T10:16:52.434,Fluxicon Disco, Variant 53,53, W_Nabellen offertes,10982.0
198720,2012-01-17T13:54:42.972,2012-01-17T13:56:42.192,Fluxicon Disco, Variant 53,53, W_Nabellen offertes,10889.0
198723,2012-01-07T09:04:12.635,2012-01-07T09:07:51.572,Fluxicon Disco, Variant 1,1, W_Afhandelen leads,10929.0
198726,2012-01-07T09:53:24.005,2012-01-07T09:57:02.622,Fluxicon Disco, Variant 26,26, W_Completeren aanvraag,10929.0
198726,2012-01-07T10:42:33.413,2012-01-07T10:52:34.231,Fluxicon Disco, Variant 26,26, W_Completeren aanvraag,10913.0
198726,2012-01-17T14:05:02.525,2012-01-17T14:08:26.263,Fluxicon Disco, Variant 26,26, W_Nabellen offertes,11189.0
198732,2012-01-07T10:12:12.875,2012-01-07T10:13:53.854,Fluxicon Disco, Variant 104,104, W_Completeren aanvraag,10929.0
198732,2012-01-07T14:14:01.838,2012-01-07T14:14:56.737,Fluxicon Disco, Variant 104,104, W_Completeren aanvraag,10982.0
198732,2012-01-09T14:27:50.283,2012-01-09T14:27:59.441,Fluxicon Disco, Variant 104,104, W_Completeren aanvraag,11181.0
198732,2012-01-09T19:15:03.644,2012-01-09T19:15:49.61,Fluxicon Disco, Variant 104,104, W_Completeren aanvraag,10863.0
198732,2012-01-10T19:11:09.651,2012-01-10T19:19:54.959,Fluxicon Disco, Variant 104,104, W_Completeren aanvraag,10863.0
198732,2012-01-10T19:20:19.678,2012-01-10T19:20:37.023,Fluxicon Disco, Variant 104,104, W_Nabellen offertes,10863.0
198732,2012-01-18T11:10:26.16,2012-01-18T11:11:50.073,Fluxicon Disco, Variant 104,104, W_Nabellen offertes,10861.0
198732,2012-01-18T19:31:06.329,2012-01-18T19:41:55.211,Fluxicon Disco, Variant 104,104, W_Nabellen offertes,10929.0
198732,2012-01-24T09:15:01.805,2012-01-24T09:20:22.886,Fluxicon Disco, Variant 104,104, W_Nabellen offertes,11169.0
