Case ID,start_timestamp,end_timestamp,Creator,Resource,variant_index,ActivityID,Activity
2,2012-04-03T15:55:38,2012-04-03T15:55:38,Fluxicon Disco, Variant 1,1,1,1
2,2012-04-03T15:55:53,2012-04-03T15:55:53,Fluxicon Disco, Variant 1,1,8,8
2,2012-04-05T16:15:52,2012-04-05T16:15:52,Fluxicon Disco, Variant 1,1,6,6
3,2010-10-29T17:14:06,2010-10-29T17:14:06,Fluxicon Disco, Variant 1,1,1,1
3,2010-11-04T00:16:11,2010-11-04T00:16:11,Fluxicon Disco, Variant 1,1,8,8
3,2010-11-04T00:21:17,2010-11-04T00:21:17,Fluxicon Disco, Variant 1,1,6,6
4,2010-12-15T22:31:53,2010-12-15T22:31:53,Fluxicon Disco, Variant 1,1,1,1
4,2010-12-16T16:01:07,2010-12-16T16:01:07,Fluxicon Disco, Variant 1,1,8,8
4,2010-12-16T16:08:19,2010-12-16T16:08:19,Fluxicon Disco, Variant 1,1,6,6
5,2012-04-03T20:08:32,2012-04-03T20:08:32,Fluxicon Disco, Variant 9,9,1,1
5,2012-04-03T20:45:33,2012-04-03T20:45:33,Fluxicon Disco, Variant 9,9,8,8
5,2012-04-03T20:47:22,2012-04-03T20:47:22,Fluxicon Disco, Variant 9,9,6,6
5,2012-04-03T21:15:02,2012-04-03T21:15:02,Fluxicon Disco, Variant 9,9,8,8
5,2012-04-03T23:07:28,2012-04-03T23:07:28,Fluxicon Disco, Variant 9,9,6,6
6,2011-10-25T22:13:58,2011-10-25T22:13:58,Fluxicon Disco, Variant 1,1,1,1
6,2011-10-25T22:58:55,2011-10-25T22:58:55,Fluxicon Disco, Variant 1,1,8,8
6,2011-10-26T16:54:46,2011-10-26T16:54:46,Fluxicon Disco, Variant 1,1,6,6
8,2012-07-05T15:30:32,2012-07-05T15:30:32,Fluxicon Disco, Variant 1,1,1,1
8,2012-07-05T16:25:45,2012-07-05T16:25:45,Fluxicon Disco, Variant 1,1,8,8
8,2012-07-05T16:44:46,2012-07-05T16:44:46,Fluxicon Disco, Variant 1,1,6,6
9,2010-05-07T20:02:21,2010-05-07T20:02:21,Fluxicon Disco, Variant 7,7,3,3
9,2010-05-07T20:02:34,2010-05-07T20:02:34,Fluxicon Disco, Variant 7,7,1,1
9,2010-05-24T17:26:28,2010-05-24T17:26:28,Fluxicon Disco, Variant 7,7,8,8
9,2010-05-25T22:35:44,2010-05-25T22:35:44,Fluxicon Disco, Variant 7,7,6,6
10,2010-02-10T16:50:20,2010-02-10T16:50:20,Fluxicon Disco, Variant 1,1,1,1
10,2010-03-19T16:47:06,2010-03-19T16:47:06,Fluxicon Disco, Variant 1,1,8,8
10,2010-03-19T16:47:13,2010-03-19T16:47:13,Fluxicon Disco, Variant 1,1,6,6
11,2011-12-21T23:24:41,2011-12-21T23:24:41,Fluxicon Disco, Variant 1,1,1,1
11,2011-12-21T23:25:34,2011-12-21T23:25:34,Fluxicon Disco, Variant 1,1,8,8
11,2011-12-22T17:55:43,2011-12-22T17:55:43,Fluxicon Disco, Variant 1,1,6,6
14,2011-07-05T20:47:08,2011-07-05T20:47:08,Fluxicon Disco, Variant 1,1,1,1
14,2011-07-05T20:47:22,2011-07-05T20:47:22,Fluxicon Disco, Variant 1,1,8,8
14,2011-07-05T20:52:37,2011-07-05T20:52:37,Fluxicon Disco, Variant 1,1,6,6
16,2012-02-22T22:16:52,2012-02-22T22:16:52,Fluxicon Disco, Variant 12,12,1,1
16,2012-02-23T00:14:07,2012-02-23T00:14:07,Fluxicon Disco, Variant 12,12,8,8
16,2012-02-23T00:23:57,2012-02-23T00:23:57,Fluxicon Disco, Variant 12,12,8,8
16,2012-02-23T17:47:38,2012-02-23T17:47:38,Fluxicon Disco, Variant 12,12,6,6
17,2011-10-14T14:10:47,2011-10-14T14:10:47,Fluxicon Disco, Variant 1,1,1,1
17,2011-11-03T00:17:52,2011-11-03T00:17:52,Fluxicon Disco, Variant 1,1,8,8
17,2011-11-09T21:31:37,2011-11-09T21:31:37,Fluxicon Disco, Variant 1,1,6,6
19,2010-07-07T14:54:04,2010-07-07T14:54:04,Fluxicon Disco, Variant 1,1,1,1
19,2010-07-09T17:10:52,2010-07-09T17:10:52,Fluxicon Disco, Variant 1,1,8,8
19,2010-07-09T17:11:18,2010-07-09T17:11:18,Fluxicon Disco, Variant 1,1,6,6
